GEOID,NAME,total_18_34,child_householder_18_34,basement_dweller_pct,median_rentE,median_home_valueE,median_household_incomeE,youth_unemployed_2534E,labor_force_2534E,median_rent,youth_unemployment_rate,rent_to_income_ratio,state,puma_name,coastal_state,high_cost
3603204,Nassau County (West Central)--North Hempstead Town (South) PUMA; New York,24573,14683,59.752573963293045,2207,692200,136583,1.7,15425,2207,1.7,0.19390407298126414,NA,Nassau County (West Central)--North Hempstead Town (South) PUMA; New York,FALSE,TRUE
3603205,Nassau County (West Central)--Hempstead Town (Northwest) PUMA; New York,26265,16731,63.70074243289549,2156,659800,142051,3.5,16749,2156,3.5,0.18213176957571575,NA,Nassau County (West Central)--Hempstead Town (Northwest) PUMA; New York,FALSE,TRUE
3603206,Nassau County (Central)--Hempstead Town (North Central)--Meadowbrook Corridor PUMA; New York,37545,18929,50.41683313357305,1850,439400,100168,5.4,20359,1850,5.4,0.22162766552192317,NA,Nassau County (Central)--Hempstead Town (North Central)--Meadowbrook Corridor PUMA; New York,FALSE,TRUE
3603207,Nassau County (Central)--Hempstead Town (Northeast) PUMA; New York,22342,14931,66.82929012621968,2379,562000,138869,1.8,15046,2379,1.8,0.20557503834549107,NA,Nassau County (Central)--Hempstead Town (Northeast) PUMA; New York,FALSE,TRUE
3603208,Nassau County (Southeast)--Oyster Bay Town (South) PUMA; New York,22685,13953,61.5076041437073,2256,589100,147933,4,14487,2256,4,0.18300176431222243,NA,Nassau County (Southeast)--Oyster Bay Town (South) PUMA; New York,FALSE,TRUE
3603209,Nassau County (Central)--Hempstead Town (East Central) PUMA; New York,18845,12328,65.41788272751393,2339,635200,168423,2.4,14744,2339,2.4,0.16665182308829554,NA,Nassau County (Central)--Hempstead Town (East Central) PUMA; New York,FALSE,TRUE
3603210,Nassau County (South Central)--Hempstead Town (Southeast) PUMA; New York,19683,12578,63.902860336330846,1971,607000,135743,3.3,14502,1971,3.3,0.17424102900333718,NA,Nassau County (South Central)--Hempstead Town (Southeast) PUMA; New York,FALSE,TRUE
3603211,Nassau County (West Central)--Hempstead Town (West Central) PUMA; New York,25032,16178,64.62927452860339,2035,577100,137061,4.2,15655,2035,4.2,0.1781688445290783,NA,Nassau County (West Central)--Hempstead Town (West Central) PUMA; New York,FALSE,TRUE
3603212,Nassau County (Southwest)--Hempstead Town (Southwest) & Long Beach City PUMA; New York,23373,12067,51.627946776194754,2159,697800,127293,3.4,12181,2159,3.4,0.2035304376517169,NA,Nassau County (Southwest)--Hempstead Town (Southwest) & Long Beach City PUMA; New York,FALSE,TRUE
3603301,Suffolk County (Northwest)--Huntington Town (North) PUMA; New York,18437,10287,55.79541140098715,2148,648600,146408,2.3,14639,2148,2.3,0.17605595322659964,NA,Suffolk County (Northwest)--Huntington Town (North) PUMA; New York,FALSE,TRUE
3603302,Suffolk County (Northwest)--Huntington Town (South) PUMA; New York,17615,11886,67.47658245813227,2144,672100,163477,3.6,14950,2144,3.6,0.15737993723887764,NA,Suffolk County (Northwest)--Huntington Town (South) PUMA; New York,FALSE,TRUE
3603303,Suffolk County (Northwest)--Smithtown Town PUMA; New York,22195,14751,66.46091462041001,2155,618800,147104,1.7,18047,2155,1.7,0.17579399608440288,NA,Suffolk County (Northwest)--Smithtown Town PUMA; New York,FALSE,TRUE
3603304,Suffolk County (North Central)--Brookhaven Town (North) PUMA; New York,20004,11097,55.47390521895621,2145,487000,131087,3.2,15760,2145,3.2,0.19635814382814468,NA,Suffolk County (North Central)--Brookhaven Town (North) PUMA; New York,FALSE,TRUE
3603305,Suffolk County (East) PUMA; New York,25412,13127,51.65669762317015,2033,739300,109603,3.4,19711,2033,3.4,0.22258514821674588,NA,Suffolk County (East) PUMA; New York,FALSE,TRUE
3603306,Suffolk County (South Central)--Brookhaven Town (South) PUMA; New York,27493,14277,51.92958207543739,2181,379200,106726,2.8,16724,2181,2.8,0.24522609298577666,NA,Suffolk County (South Central)--Brookhaven Town (South) PUMA; New York,FALSE,TRUE
3603307,Suffolk County (Central)--Brookhaven Town (Central) PUMA; New York,29126,15494,53.19645677401634,2143,412900,108079,3.8,19701,2143,3.8,0.23793706455463134,NA,Suffolk County (Central)--Brookhaven Town (Central) PUMA; New York,FALSE,TRUE
3603308,Suffolk County (Central)--Brookhaven Town (West Central) PUMA; New York,25332,14922,58.905731880625304,2108,435600,119538,3.7,15607,2108,3.7,0.21161471665913767,NA,Suffolk County (Central)--Brookhaven Town (West Central) PUMA; New York,FALSE,TRUE
3603309,Suffolk County (Central)--Islip Town (East) PUMA; New York,21133,12296,58.183883026546155,2257,489500,128672,3.4,14804,2257,3.4,0.21048868440686397,NA,Suffolk County (Central)--Islip Town (East) PUMA; New York,FALSE,TRUE
3603310,Suffolk County (Central)--Islip Town (Northwest) PUMA; New York,32872,15652,47.61499148211244,1854,399500,107198,3.4,17999,1854,3.4,0.20754118546987818,NA,Suffolk County (Central)--Islip Town (Northwest) PUMA; New York,FALSE,TRUE
3603311,Suffolk County (Southwest)--Islip Town (South) PUMA; New York,23086,12688,54.95971584510093,2124,495600,132093,3.6,14199,2124,3.6,0.19295496354840908,NA,Suffolk County (Southwest)--Islip Town (South) PUMA; New York,FALSE,TRUE
3603312,Suffolk County (Southwest)--Babylon Town (Southeast) PUMA; New York,22857,13426,58.739117119481996,2173,459900,121237,5.5,13541,2173,5.5,0.21508285424416637,NA,Suffolk County (Southwest)--Babylon Town (Southeast) PUMA; New York,FALSE,TRUE
3603313,Suffolk County (West Central)--Babylon Town (Northwest) PUMA; New York,25771,14853,57.634550463699505,1936,447400,109467,3.6,17662,1936,3.6,0.21222834278823755,NA,Suffolk County (West Central)--Babylon Town (Northwest) PUMA; New York,FALSE,TRUE
3604103,NYC-Manhattan Community District 3--Lower East Side & Chinatown PUMA; New York,45633,7729,16.937304143930927,1262,791000,54111,5.3,16019,1262,5.3,0.2798691578422132,NA,NYC-Manhattan Community District 3--Lower East Side & Chinatown PUMA; New York,FALSE,FALSE
3604104,NYC-Manhattan Community District 4--Chelsea & Hell's Kitchen PUMA; New York,38555,3192,8.279081831150306,2326,896400,108715,4.6,15084,2326,4.6,0.25674469944349904,NA,NYC-Manhattan Community District 4--Chelsea & Hell's Kitchen PUMA; New York,FALSE,TRUE
3604107,NYC-Manhattan Community District 7--Upper West Side PUMA; New York,46772,7374,15.765842811938766,2462,1367100,136158,5.7,28536,2462,5.7,0.216983210681708,NA,NYC-Manhattan Community District 7--Upper West Side PUMA; New York,FALSE,TRUE
3604108,NYC-Manhattan Community District 8--Upper East Side & Roosevelt Island PUMA; New York,52509,6662,12.687348835437733,2566,1422000,144990,5.8,25016,2566,5.8,0.21237326712187046,NA,NYC-Manhattan Community District 8--Upper East Side & Roosevelt Island PUMA; New York,FALSE,TRUE
3604109,NYC-Manhattan Community District 9--Morningside Heights & Hamilton Heights PUMA; New York,32034,7333,22.89130299057252,1697,759500,63281,9.5,11370,1697,9.5,0.32180275280099874,NA,NYC-Manhattan Community District 9--Morningside Heights & Hamilton Heights PUMA; New York,FALSE,FALSE
3604110,NYC-Manhattan Community District 10--Harlem PUMA; New York,35848,13268,37.01182771702745,1374,868600,58489,6.2,18901,1374,6.2,0.28189916052591085,NA,NYC-Manhattan Community District 10--Harlem PUMA; New York,FALSE,FALSE
3604111,NYC-Manhattan Community District 11--East Harlem PUMA; New York,29905,11275,37.70272529677312,1170,667100,37855,7.4,15312,1170,7.4,0.3708889182406551,NA,NYC-Manhattan Community District 11--East Harlem PUMA; New York,FALSE,FALSE
3604112,NYC-Manhattan Community District 12--Washington Heights & Inwood PUMA; New York,57679,21204,36.76207978640406,1584,568300,62118,9.7,28727,1584,9.7,0.30599826137351493,NA,NYC-Manhattan Community District 12--Washington Heights & Inwood PUMA; New York,FALSE,FALSE
3604121,NYC-Manhattan Community Districts 1 & 2--Financial District & Greenwich Village PUMA; New York,48959,4037,8.245674952511285,3320,1559000,171480,6.8,21469,3320,6.8,0.2323303009097271,NA,NYC-Manhattan Community Districts 1 & 2--Financial District & Greenwich Village PUMA; New York,FALSE,TRUE
3604165,"NYC-Manhattan Community Districts 5 & 6--Midtown, East Midtown, & Flatiron PUMA; New York",60964,3748,6.147890558362312,2932,1046600,150540,5.1,22019,2932,5.1,0.23371861299322438,NA,NYC-Manhattan Community Districts 5 & 6--Midtown,FALSE,TRUE
3604204,NYC-Bronx Community District 4--Highbridge & Concourse PUMA; New York,37058,17744,47.88169895838955,1348,304000,40479,6.5,18782,1348,6.5,0.39961461498554807,NA,NYC-Bronx Community District 4--Highbridge & Concourse PUMA; New York,FALSE,FALSE
3604205,NYC-Bronx Community District 5--Morris Heights & Mount Hope PUMA; New York,32974,15080,45.733001758961606,1409,420600,37297,7.8,17942,1409,7.8,0.4533340483148779,NA,NYC-Bronx Community District 5--Morris Heights & Mount Hope PUMA; New York,FALSE,FALSE
3604207,"NYC-Bronx Community District 7--Fordham, Bedford Park, & Norwood PUMA; New York",35327,16067,45.48079372717751,1542,270400,43244,11.9,17833,1542,11.9,0.42789751179354363,NA,NYC-Bronx Community District 7--Fordham,FALSE,FALSE
3604208,"NYC-Bronx Community District 8--Riverdale, Kingsbridge, & Marble Hill PUMA; New York",17956,7583,42.23100913343729,1611,358500,77840,6,11906,1611,6,0.24835560123329908,NA,NYC-Bronx Community District 8--Riverdale,FALSE,FALSE
3604209,NYC-Bronx Community District 9--Soundview & Parkchester PUMA; New York,44112,20539,46.56102647805586,1413,508700,50001,9.3,19710,1413,9.3,0.3391132177356453,NA,NYC-Bronx Community District 9--Soundview & Parkchester PUMA; New York,FALSE,FALSE
